Substance_id	Substance_name	Substance_category	Substance_subcategory	cas_no	id_drugbank	id_pharmgkb	id_kegg	id_ttd	id_pubchem	id_chemspider	id_npass	synonyms	Molecular_formula	inchikey	iupacname	Product_company	Therapeutic_class
PMDBD1010	Acebutolol	Therapeutic substance	Drug	37517-30-9	DB01193	PA448011	D02338	DAP000484	1978	1901	n.a.	acebutolol; Acetobutolol; 37517-30-9; Neptal; dl-Acebutolol; Acebutololo; Prent; Acebutololum; Sectral; (+-)-Acebutolol; N-(3-Acetyl-4-(2-hydroxy-3-(isopropylamino)propoxy)phenyl)butyramide; Acebutololum [INN-Latin]; Acebrutololum [INN-Latin]; Acetobutolol [INN-Spanish]; Acebutolol [USAN:INN:BAN]; 5'-Butyramido-2'-(2-hydroxy-3-isopropylaminopropoxy)acetophenone; CHEBI:2379; CCRIS 9214; RP 21823; EINECS 253-539-0; 3'-Acetyl-4'-(2-hydroxy-3-(isopropylamino)propoxy)butyranilide; BRN 2162244; 1-(2-Acetyl-4-n-butyramidophenoxy)-2-hyd	C18H28N2O4	GOEMGAFJFRBGGG-UHFFFAOYSA-N	N-[3-acetyl-4-[2-hydroxy-3-(propan-2-ylamino)propoxy]phenyl]butanamide	n.a.	n.a.
PMDBD1012	Acetohexamide	Therapeutic substance	Drug	968-81-0	DB00414	PA164777011	D00219	DAP000922	1989	1912	n.a.	acetohexamide; 968-81-0; Dymelor; Acetohexamid; Gamadiabet; Dimelor; Metaglucina; Tsiklamid; Hypoglicil; Dimelin; Ordimel; Minoral; Acetohexamida; Acetohexamidum; 1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea; N-(p-Acetylphenylsulfonyl)-N'-cyclohexylurea; Acetohexamidum [INN-Latin]; Acetohexamida [INN-Spanish]; 1-((p-Acetylphenyl)sulfonyl)-3-cyclohexylurea; CCRIS 4; NCI-C03247; UNII-QGC8W08I6I; 1-(p-Acetylbenzenesulfonyl)-3-cyclohexylurea; 4-Acetyl-N-((cyclohexylamino)carbonyl)benzenesulfonamide; Benzenesulfonamide, 4-acetyl-N-[(cyc	C15H20N2O4S	VGZSUPCWNCWDAN-UHFFFAOYSA-N	1-(4-acetylphenyl)sulfonyl-3-cyclohexylurea	n.a.	n.a.
PMDBD22	Albendazole	Therapeutic Substance	Approved Drug	54965-21-8	DB00518	PA164746058	D00134	DAP000951	2082	1998	n.a.	albendazole; 54965-21-8; Albenza; Eskazole; Valbazen; Zentel; Proftril; Albendazol; Bilutac; Albendazolum; Zental; SK&amp;F 62979; SKF 62979; Methyl 5-(propylthio)-2-benzimidazolecarbamate; SK&amp;F-62979; Albendazolum [INN-Latin]; Albendazol [INN-Spanish]; 5-(Propylthio)-2-carbomethoxyaminobenzimidazole; Methyl [5-(Propylthio)benzimidazol-2-yl]carbamate; SKF-62979; methyl N-[6-(propylsulfanyl)-1H-1,3-benzodiazol-2-yl]carbamate; (5-(Propylthio)-1H-benzimidazol-2-yl)carbamic acid methyl ester; methyl N-(6-propylsulfanyl-1H-benzim	C12H15N3O2S	HXHWSAZORRCQMX-UHFFFAOYSA-N	methyl N-(6-propylsulfanyl-1H-benzimidazol-2-yl)carbamate	GlaxoSmithKline	Antiprotozoal Agents
PMDBD26	Alfuzosin	Therapeutic Substance	Approved Drug	81403-80-7	DB00346	PA164774795	D07124	DCL000664	2092	2008	n.a.	alfuzosin; 81403-80-7; Alfuzosinum; Alfuzosina; Alfuzosine; Alfuzosinum [Latin]; Alfuzosine [French]; Alfuzosina [Spanish]; Alfuzosin [INN:BAN]; Uroxatral; ALFLUZOCIN; SL 77499; SL 77-499; HSDB 7290; CHEMBL709; N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide; CHEBI:51141; N-{3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)(methyl)amino]propyl}tetrahydrofuran-2-carboxamide; N-(3-((4-Amino-6,7-dimethoxy-2-quinazolinyl)methylamino)propyl)tetrahydro-2-furancarboxamide; Alfusosine; C19H27N5O4; alphuzos	C19H27N5O4	WNMJYKCGWZFFKR-UHFFFAOYSA-N	N-[3-[(4-amino-6,7-dimethoxyquinazolin-2-yl)-methylamino]propyl]oxolane-2-carboxamide	Sanofi-Aventis	Antihypertensive Agents
PMDBD1021	Allopurinol	Therapeutic substance	Drug	315-30-0	DB00437	PA448320	D00224	DAP000773	135401907	2010	n.a.	allopurinol; 315-30-0; 1H-Pyrazolo[3,4-d]pyrimidin-4-ol; Zyloprim; Zyloric; Lopurin; Caplenal; Bleminol; Atisuril; Uripurinol; Milurit; Embarin; Progout; Foligan; Urosin; Suspendol; Epidropal; Cellidrin; Anoprolin; Uriprim; Hamarin; Allural; Ailural; Bloxanth; Allopur; Lysuron; Alositol; Xanturat; Uricemil; Ledopur; Cosuric; Urtias; Apurin; Remid; Apurol; Urolit; Gotax; Geapur; Urbol; Anzief; Aloral; Ketobun-A; Urobenyl; Apulonga; Takanarumin; Miniplanor; Ketanrift; Dabrosin; Dabroson; Nektrohan; Riball; Aluline; Adenock; Monarch; Gichtex; Allozym; Hexanuret; Epu	C5H4N4O	OFCNXPDARWKPPY-UHFFFAOYSA-N	1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one	n.a.	n.a.
PMDBD1022	Alosetron	Therapeutic substance	Drug	122852-42-0	DB00969	PA164745502	D07129	DAP000369	2099	2015	n.a.	alosetron; 122852-42-0; Lotronex; UNII-13Z9HTH115; Alosetron [INN:BAN]; GR68755; CHEBI:253342; 5-methyl-2-[(5-methyl-1H-imidazol-4-yl)methyl]-3,4-dihydropyrido[4,3-b]indol-1-one; 2,3,4,5-Tetrahydro-5-methyl-2-((5-methyl-1H-imidazol-4-yl)methyl)-1H-pyrido(4,3-b)indol-1-one; 13Z9HTH115; Q-200612; C17H18N4O; MLS001401464; Alosetron (INN); 5-methyl-2-[(5-methyl-1H-imidazol-4-yl)methyl]-2,3,4,5-tetrahydro-1H-pyrido[4,3-b]indol-1-one; 5-Methyl-2-[(4-methyl-1H-imidazol-5-yl)methyl]-2,3,4,5-tetrahydro-1H-pyrido[4,3-b]indol-1-one	C17H18N4O	JSWZEAMFRNKZNL-UHFFFAOYSA-N	5-methyl-2-[(5-methyl-1H-imidazol-4-yl)methyl]-3,4-dihydropyrido[4,3-b]indol-1-one	n.a.	n.a.
PMDBD29	Alprenolol	Therapeutic Substance; Herbal Substance	Approved Drug; Medicinal Herbal Compounds	13655-52-2	DB00866	PA164750541	D07156	DAP000941	2119	2035	NPC141739	alprenolol; Alpheprol; Alfeprol; 13655-52-2; Alprenololum; Alfeprol [Russian]; Alprenololum [INN-Latin]; Alprenolol [INN:BAN]; 1-(o-Allylphenoxy)-3-(isopropylamino)-2-propanol; 1-(2-Allylphenoxy)-3-isopropylamino-2-propanol; EINECS 237-140-9; CHEMBL266195; (RS)-Alprenolol;dl-Alprenolol; CHEBI:51211; NCGC00015099-05; DSSTox_CID_25127; DSSTox_RID_80	C15H23NO2	PAZJSJFMUHDSTF-UHFFFAOYSA-N	1-(propan-2-ylamino)-3-(2-prop-2-enylphenoxy)propan-2-ol	AstraZeneca	Antiarrhythmic Agents
PMDBD30	Altretamine	Therapeutic Substance	Approved Drug	645-05-6	DB00488	PA164743136	n.a.	DAP000989	2123	2038	n.a.	altretamine; 645-05-6; HEXAMETHYLMELAMINE; Hexalen; Hexastat; Hemel; 2,4,6-Tris(dimethylamino)-1,3,5-triazine; Altretaminum; Altretamina; Altretaminum [INN-Latin]; ENT 50852; NC 195; 2,4,6-Tris(dimethylamino)-s-triazine; NCI-C50259; HMM; Altretamina [INN-Spanish]; N2,N2,N4,N4,N6,N6-hexamethyl-1,3,5-triazine-2,4,6-triamine; Altretamine (Hexalen); NSC 13875; HTM; HXM; UNII-Q8BIH59O7H; CCRIS 5492; MLS000069621	C9H18N6	UUVWYPNAQBNQJQ-UHFFFAOYSA-N	2-N,2-N,4-N,4-N,6-N,6-N-hexamethyl-1,3,5-triazine-2,4,6-triamine	n.a.	Anticancer Agents
PMDBD32	Amantadine	Therapeutic Substance	Approved Drug	768-94-5	DB00915	PA448360	n.a.	DAP000781	2130	2045	n.a.	amantadine; 1-Adamantanamine; 768-94-5; adamantan-1-amine; 1-Adamantylamine; 1-Aminoadamantane; Adamantylamine; Adamantanamine; Aminoadamantane; Symmetrel; Amantidine; Pk-merz; Adamantamine; Symadine; 1-Adamantamine; Amantadinum; Amantadina; Amantadine [INN:BAN]; Amantadinum [INN-Latin]; Amantadina [INN-Spanish]; adamantan-1-ylamine; Gocovri; TCMDC-125869; 1-adamantaneamine; UNII-BF4C9Z1J53; 1-Aminotricyclo(3.3.1.1(sup 3,7))decane; NSC 341865; Tricyclo(3.3.1.13,7)decan-1-amine; tricyclo[3.3.1.1~3,7~]decan-1-amine; HSDB 3202; Tricyclo[3.	C10H17N	DKNWSYNQZKUICI-UHFFFAOYSA-N	adamantan-1-amine	n.a.	Antiviral Agents
PMDBD1448	Theophylline	Therapeutic substance	Drug	58-55-9	DB00277	PA451647	D00371	DAP000002	2153	2068	n.a.	theophylline; 58-55-9; 1,3-Dimethylxanthine; Theophyllin; Elixophyllin; Theolair; Nuelin; Theophylline anhydrous; Theocin; Respbid; Theo-dur; Elixophylline; Pseudotheophylline; Lanophyllin; Theovent; Uniphyl; Slo-phyllin; Teofyllamin; Parkophyllin; Bronkodyl; Xantivent; Theocontin; Uniphyllin; Optiphyllin; Maphylline; Liquophylline; Doraphyllin; Armophylline; Accurbron; Theacitin; Synophylate; Medaphyllin; Theofol; Theobid; Teolair; Solosin; Aerolate; Theolix; Theograd; Elixicon; Elixex; Acet-theocin; Theophyl-225; Slo-bid; Aerolate III; Xanthium; Sust	C7H8N4O2	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	1,3-dimethyl-7H-purine-2,6-dione	n.a.	n.a.
PMDBD36	Amiodarone	Therapeutic Substance	Approved Drug	1951-25-3	DB01118	PA448383	D02910	DAP000496	2157	2072	n.a.	amiodarone; 1951-25-3; Cordarone; Amiodarona; Amiodaronum; Amjodaronum; Amiodaronum [INN-Latin]; Amiodarona [INN-Spanish]; Pacerone; L 3428; L-3428; UNII-N3RQ532IUT; 2-Butyl-3-(3,5-diiodo-4-(2-diethylaminoethoxy)benzoyl)benzofuran; 2-n-Butyl-3',5'-diiodo-4'-N-diethylaminoethoxy-3-benzoylbenzofuran; (2-butyl-1-benzofuran-3-yl){4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl}methanone; C25H29I2NO3; 2-Butyl-3-benzofuranyl 4-(2-(diethylamino)ethoxy)-3,5-diiodophenyl ketone; SKF 33134-A; EINECS 217-772-1; CHEMBL633; BRN 1271711; N3RQ532	C25H29I2NO3	IYIKLHRQXLHMJQ-UHFFFAOYSA-N	(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone	Wyeth-Ayerst Laboratories	Antiarrhythmic Agents
PMDBD1028	Amitriptyline	Therapeutic substance	Drug	50-48-6	DB00321	PA448385	D07448	DNC001466	2160	2075	n.a.	amitriptyline; Amitriptylin; Elavil; 50-48-6; Triptanol; Damitriptyline; Lantron; Seroten; Damilen; Flavyl; Proheptadiene; Amitryptiline; Triptisol; Adepress; Tryptanol; Adepril; Amitriprolidine; Triptilin; Redomex; Amytriptylin; Damilan; Ro 4-1575; Amitriptylin [German]; Amitriptilina [Italian]; Amitriptyline [INN:BAN]; Amitril; Sarotex; Amitriptylinum [INN-Latin]; Amitriptilina [INN-Spanish]; MK 230; 5-(3-Dimethylaminopropylidene)-10,11-dihydro-5H-dibenzo(a,d)cycloheptene; 3-(10,11-dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimet	C20H23N	KRMDCWKBEZIMAB-UHFFFAOYSA-N	N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine	n.a.	n.a.
PMDBD39	Amlodipine	Therapeutic Substance	Approved Drug	88150-42-9	DB00381	PA448388	D07450	DAP000139	2162	2077	n.a.	amlodipine; 88150-42-9; Norvasc; Amlodis; Coroval; Amlocard; Lipinox; AMLODIPINE BASE; Amlodipinum; Amlodipino; Caduet; Istin; Amlodipine Free Base; Amlodipinum [Latin]; Amlodipino [Spanish]; Amlodipine [INN:BAN]; Amlodipine besilate; CHEBI:2668; Norvasc (TN); 3-ethyl 5-methyl 2-((2-aminoethoxy)methyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate; 3-ethyl 5-methyl 2-[(2-aminoethoxy)methyl]-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate; UK-4834011; Amlor; 3-O-ethyl 5-O-methyl 2-(2-aminoetho	C20H25ClN2O5	HTIQEAQVCYTUBX-UHFFFAOYSA-N	3-O-ethyl 5-O-methyl 2-(2-aminoethoxymethyl)-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate	Dainippon Sumitomo	Antihypertensive Agents
PMDBD41	Amoxapine	Therapeutic Substance	Approved Drug	14028-44-5	DB00543	PA448405	D00228	DAP001149	2170	2085	n.a.	amoxapine; 14028-44-5; Asendin; Demolox; Moxadil; Amoxan; Desmethylloxapin; Asendis; Amoxapina; Amoxepine; Amoxapinum; Amoxapinum [INN-Latin]; Amoxapina [INN-Spanish]; 2-Chloro-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepine; CL 67772; CL-67772; UNII-R63VQ857OT; 2-chloro-11-(piperazin-1-yl)dibenzo[b,f][1,4]oxazepine; EINECS 237-867-1; C17H16ClN3O; BRN 0832057; CHEMBL1113; 2-Chlor-11-(1-piperazinyl)dibenz(b,f)(1,4)oxazepin; 8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine; 2-Ch	C17H16ClN3O	QWGDMFLQWFTERH-UHFFFAOYSA-N	8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine	n.a.	Antidepressants
PMDBD45	Anagrelide	Therapeutic Substance	Approved Drug	68475-42-3	DB00261	PA164742986	D07455	DAP000612	135409400	2097	n.a.	anagrelide; 68475-42-3; Anagrelida; Anagrelidum; Xagrid; 6,7-Dichloro-5,10-dihydroimidazo[2,1-b]quinazolin-2(3H)-one; Anagrelide [INN:BAN]; Anagrelidum [INN-Latin]; Anagrelida [INN-Spanish]; C10H7Cl2N3O; UNII-K9X45X0051; BL 416201; HSDB 7325; CHEMBL760; BRN 0619582; 6,7-Dichloro-1,5-dihydroimidazo(2,1-b)quinazolin-2(3H)-one; 6,7-Dichlor-1,5-dihydroimidazo(2,1-b)chinazolin-2(3H)-on; CHEBI:142290; K9X45X0051; 6,7-Dichloro-1,5-dihydroimidazo[2,1-b]quinazolin-2(3H)-one	C10H7Cl2N3O	OTBXOEAOVRKTNQ-UHFFFAOYSA-N	6,7-dichloro-3,5-dihydro-1H-imidazo[2,1-b]quinazolin-2-one	Shire Phamaceuticals	Antithrombotic Agents
PMDBD46	Anastrozole	Therapeutic Substance	Approved Drug	120511-73-1	DB01217	PA448432	D00960	DAP000627	2187	2102	n.a.	anastrozole; 120511-73-1; Arimidex; anastrazole; Anastrozol; 2,2'-(5-((1H-1,2,4-triazol-1-yl)methyl)-1,3-phenylene)bis(2-methylpropanenitrile); ZD-1033; ZD1033; ZD 1033; ICI D1033; UNII-2Z07MYW1AZ; 2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile; ICI-D1033; HSDB 7462; ICI-D 1033; alpha,alpha,alpha',alpha'-Tetramethyl-5-(1H-1,2,4-triazol-1-ylmethyl)-m-benzenediacetonitrile; 2Z07MYW1AZ; CHEMBL1399; 2,2'-[5-(1H-1,2,4-triazol-1-ylmethyl)benzene-1,3-diyl]bis(2-methylpropanenitrile); CHEBI:2704	C17H19N5	YBBLVLTVTVSKRW-UHFFFAOYSA-N	2-[3-(2-cyanopropan-2-yl)-5-(1,2,4-triazol-1-ylmethyl)phenyl]-2-methylpropanenitrile	AstraZeneca	Anticancer Agents
PMDBD49	Anthralin	Therapeutic Substance	Approved Drug	1143-38-0	DB11157	n.a.	n.a.	n.a.	2202	2117	n.a.	anthralin; Dithranol; 1143-38-0; 1,8-Dihydroxyanthrone; 1,8-Dihydroxy-9-anthrone; Cignolin; Chrysodermol; Cigthranol; 1,8-Dihydroxyanthracen-9(10H)-one; Batridol; Psoriacid-Stift; Anthra-Derm; 1,8-dihydroxy-10H-anthracen-9-one; Drithoscalp; DrithoCreme; 1,8-DIHYDROXY-9(10H)-ANTHRACENONE; NSC 43970; Anthraline; NSC 629313; UNII-U8CJK0JH5M; Dithranolum [INN-Latin]; Anthralin [USP]; CCRIS 628; CHEBI:37510; EINECS 214-538-0; U8CJK0JH5M; BRN 2054360; CHEMBL46469; Dithranol [INN]	C14H10O3	NUZWLKWWNNJHPT-UHFFFAOYSA-N	1,8-dihydroxy-10H-anthracen-9-one	n.a.	n.a.
PMDBD18	Acetylsalicylic acid	Therapeutic Substance	Approved Drug	50-78-2	DB00945	PA448497	D00109	DAP000843	2244	2157	n.a.	aspirin; ACETYLSALICYLIC ACID; 50-78-2; 2-Acetoxybenzoic acid; 2-(Acetyloxy)benzoic acid; o-Acetoxybenzoic acid; Acylpyrin; O-Acetylsalicylic acid; Ecotrin; Easprin; Acetophen; Acenterine; Polopiryna; Acetosal; Acetylsalicylate; Colfarit; Salicylic acid acetate; o-Carboxyphenyl acetate; Enterosarein; Temperal; Acetylin; Aspergum; Salcetogen; Pharmacin; Acetosalin; Premaspin; Micristin; Benaspir; Aspirdrops; Acetonyl; Aceticyl; Empirin; Ecolen; Rhodine; Endydol; Saletin; Rheumintabletten; Solprin acid; Enterosarine; Bialpirinia; Globentyl; Enterici	C9H8O4	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	2-acetyloxybenzoic acid	Bayer Pharmaceuticals Corporation	Analgesics
