microbe_id	microbe_tax_id	microbe_name	microbe_tax_level	genus_id	genus_name	family_id	family_name	superking_id	superking_name	if_probiotic	probiotic_use_species	probiotic_research_stage	if_has_abundance							
PMDBM17	2086	Anaeroplasma	n.a.	n.a.	n.a.	186333	Anaeroplasmataceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM173	84107	Coriobacteriaceae	Family	n.a.	n.a.	84107	Coriobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM174	84999	Coriobacteriales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM177	191394	Deferribacteraceae	Family	n.a.	n.a.	191394	Deferribacteraceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM18	n.a.	Anaerostipes	sp.	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM188	1929886	Eggerthella	sp.	Species	84111	Eggerthella	1643826	Eggerthellaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM189	n.a.	Eggerthella	sp.	Julong732	Species	84111	Eggerthella	1643826	Eggerthellaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM190	1432052	Eisenbergiella	tayi	Species	1432051	Eisenbergiella	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM194	543	Enterobacteriaceae	Family	n.a.	n.a.	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM195	n.a.	Enterobacteriales	n.a.	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM203	1547	Erysipelatoclostridium	ramosum	Species	1505663	Erysipelatoclostridium	128827	Erysipelotrichaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM204	128827	Erysipelotrichaceae	Family	n.a.	n.a.	128827	Erysipelotrichaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM206	526525	Erysipelotrichales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM207	526524	Erysipelotrichia	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM215	n.a.	Escherichia	sp.	Species	561	Escherichia	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM217	n.a.	Eubacterium	A-44	Species	1730	Eubacterium	186806	Eubacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM226	n.a.	Eubacterium	sp.	Species	1730	Eubacterium	186806	Eubacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM227	n.a.	Eubacterium	sp.	GLH	Species	1730	Eubacterium	186806	Eubacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM228	n.a.	Eubacterium	spp.	Species	1730	Eubacterium	186806	Eubacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM229	n.a.	Eubacterium	spp.	SDG-2	Species	1730	Eubacterium	186806	Eubacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM231	n.a.	Eubacterium	YK-4	Species	1730	Eubacterium	186806	Eubacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM234	n.a.	Faecalibacterium	spp.	Species	216851	Faecalibacterium	541000	Ruminococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM235	n.a.	Feptostreptoccous	YK-10	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM237	204430	Fibrobacteria	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM239	1239	Firmicutes	Phylum	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM24	n.a.	Atopobium	spp.	Species	1380	Atopobium	1643824	Atopobiaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM240	n.a.	Firmicutes/Bacteroidetes	ratio	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM242	32066	Fusobacteria	Phylum	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM243	n.a.	Fusobacterium	K-60	Species	848	Fusobacterium	203492	Fusobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM246	1236	Gammaproteobacteria	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM248	204475	Gemmiger	Genus	204475	Gemmiger	541000	Ruminococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM25	91061	Bacilli	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM251	n.a.	Gordonibacter	urolithinfaciens	sp.	nov	Species	644652	Gordonibacter	1643826	Eggerthellaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM252	n.a.	Gram-negative	bacterium	B1G-1A	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM254	2049029	Holdemania	sp.	Species	n.a.	n.a.	128827	Erysipelotrichaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM260	576	Klebsiella	sp.	Species	570	Klebsiella	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM261	577	Raoultella	terrigena	Species	160674	Raoultella	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM263	186803	Lachnospiraceae	Family	n.a.	n.a.	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM264	n.a.	Lachnospiraceae	incertae	sedis	Species	n.a.	n.a.	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM265	n.a.	Lachnospiraceae	unclassified	Species	n.a.	n.a.	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM266	29370	Lacrimispora	sphenoides	Species	n.a.	n.a.	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM267	186826	Lactobacillales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM27	n.a.	Bacterium	DZY-HS11	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM275	n.a.	Lactobacillus	L-2	Species	1578	Lactobacillus	33958	Lactobacillaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM278	1597	Lactobacillus	paracasei	Species	1578	Lactobacillus	33958	Lactobacillaceae	2	Bacteria	Yes	Human	Marketed	No						
PMDBM28	815	Bacteroidaceae	Family	n.a.	n.a.	815	Bacteroidaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM283	1591	Lactobacillus	sp.	Species	1578	Lactobacillus	33958	Lactobacillaceae	2	Bacteria	Yes	Animal	Research	No						
PMDBM284	n.a.	Lactobacillus	spp.	Species	1578	Lactobacillus	33958	Lactobacillaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM287	341220	Lactonifactor	longoviformis	Species	n.a.	n.a.	31979	Clostridiaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM289	1643	Listeria	welshimeri	Species	1637	Listeria	186820	Listeriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM29	171549	Bacteroidales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM293	31969	Mollicutes	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM294	46225	Moraxella	Subgenus	475	Moraxella	468	Moraxellaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM296	437755	Moryella	Genus	437755	Moryella	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM297	248038	Mucispirillum	n.a.	n.a.	n.a.	191394	Deferribacteraceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM3	1760	Actinobacteria	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM30	n.a.	Bacteroidales	unclassified	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM301	182709	Oceanobacillus	Genus	182709	Oceanobacillus	186817	Bacillaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM306	1945593	Oscillibacter	sp.	Species	459786	Oscillibacter	216572	Oscillospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM307	119852	Oscillospira	Genus	119852	Oscillospira	541000	Ruminococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM317	186804	Peptostreptococcaceae	Family	n.a.	n.a.	186804	Peptostreptococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM319	n.a.	Peptostreptococcus	intermedius	EBF	77/25	Species	1257	Peptostreptococcus	186804	Peptostreptococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM32	85831	Bacteroides	acidifaciens	Species	816	Bacteroides	815	Bacteroidaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM320	n.a.	Peptostreptococcus	spp.	SDG-1	Species	1257	Peptostreptococcus	186804	Peptostreptococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM321	n.a.	Phascolarctobacter	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No							
PMDBM323	203683	Planctomycetia	Class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM325	171551	Porphyromonadaceae	Family	n.a.	n.a.	171551	Porphyromonadaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM327	537011	Pretovella	copri	DSM18205	Strain	838	Prevotella	171552	Prevotellaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM332	n.a.	Prevotella	pneumophila	Species	838	Prevotella	171552	Prevotellaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM334	171552	Prevotellaceae	Family	n.a.	n.a.	171552	Prevotellaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM335	n.a.	Prevotellaceae_NK3B31_group	n.a.	n.a.	n.a.	171552	Prevotellaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM336	31957	Propionibacteriaceae	Family	n.a.	n.a.	31957	Propionibacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM337	1224	Proteobacteria	Phylum	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM338	n.a.	Proteus	mirabillis	S2	Species	583	Proteus	1903414	Morganellaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM343	46205	Pseudobutyrivibrio	Genus	46205	Pseudobutyrivibrio	186803	Lachnospiraceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM344	n.a.	Pseudocera	n.a.	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM345	135621	Pseudomonadaceae	Family	n.a.	n.a.	135621	Pseudomonadaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM348	294	Pseudomonas	fluorescens	Species	286	Pseudomonas	135621	Pseudomonadaceae	2	Bacteria	Yes	Animal	Field	trial	(Animal)	No				
PMDBM351	171550	Rikenellaceae	Family	n.a.	n.a.	171550	Rikenellaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM352	n.a.	Rosburia	ssp,	S24-7	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No					
PMDBM357	541000	Ruminococcaceae	Family	n.a.	n.a.	541000	Ruminococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM358	n.a.	Ruminococcaceae	unclassified	Species	n.a.	n.a.	541000	Ruminococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM367	41978	Ruminococcus	sp.	Species	1263	Ruminococcus	541000	Ruminococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM368	n.a.	Ruminococcus	spp.	P01-3	Species	1263	Ruminococcus	541000	Ruminococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM372	n.a.	Salmonella	spp.	Species	590	Salmonella	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM374	99287	Salmonella	typhimurium	LT2	Strain	590	Salmonella	543	Enterobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM375	n.a.	SCFA-producing	bacteria	n.a.	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM376	n.a.	Segmented	filamentous	bacteria	n.a.	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM379	498718	Slackia	equolifaciens	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM380	572010	Slackia	isoflavoniconvertens	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM384	1300	Streptococcaceae	Family	n.a.	n.a.	1300	Streptococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM390	n.a.	Streptococcus	S-2	Species	1301	Streptococcus	1300	Streptococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM393	211046	Styrax	aureus	Species	13699	Styrax	20008	Styracaceae	2759	Eukaryota	n.a.	n.a.	n.a.	No						
PMDBM396	n.a.	Sulfite-reducing	bacterium	LF11mE1	n.a.	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM398	1981025	Sutterella	sp.	Species	40544	Sutterella	995019	Sutterellaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM400	n.a.	Unidentified	anaerobic	bacterium	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No					
PMDBM401	n.a.	Unidentified	gut	microbes	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No					
PMDBM402	n.a.	Unidentified	oral	microbes	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No					
PMDBM403	n.a.	Unidentified	probiotic	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM404	n.a.	Unidentified	vaginal	microbes	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No					
PMDBM407	74201	Verrucomicrobia	Phylum	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM409	172900	Victivallis	Genus	172900	Victivallis	255528	Victivallaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM410	340101	Victivallis	vadensis	ATCC	BAA-548	Strain	172900	Victivallis	255528	Victivallaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM502	n.a.	Bifidobacterium	infantis	NRRL	B-41661	Species	1678	Bifidobacterium	31953	Bifidobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM503	n.a.	Clostridiales	spp.	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM504	n.a.	Enterococcus	spp.	Species	1350	Enterococcus	81852	Enterococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM505	n.a.	Eubacterium	rectale−C.	coccoides	group	n.a.	1730	Eubacterium	186806	Eubacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM507	n.a.	Lactobacillus	bulgaricus	LBY-27	Species	1578	Lactobacillus	33958	Lactobacillaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM512	n.a.	Nocardioides	spp.	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM513	n.a.	Paenibacillus	spp.	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM514	n.a.	Acinobacter	spp.	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM515	n.a.	Bacillus	spp.	Species	55087	Bacillus	55086	Bacillidae	2759	Eukaryota	n.a.	n.a.	n.a.	No						
PMDBM516	n.a.	Bacteroidaceae/Bifidobacteriaceae	ratio	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM518	n.a.	Bacteroides−Prevotella	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM519	n.a.	Bacteroides−Prevotella	spp.	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM523	n.a.	Blautia	coccoides−Eubacterium	rectale	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No					
PMDBM524	n.a.	Clostridium	histolyticum	group	Species	1485	Clostridium	31979	Clostridiaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM525	n.a.	Cytophaga-Flexibacter	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No							
PMDBM526	n.a.	Enterobacteria	n.a.	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM527	n.a.	Lactic	acid	producing	bacteria	Species	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM528	n.a.	Pseudof	lavonifractor	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM529	n.a.	S24-7	(Bacteroidetes)	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM530	n.a.	Sulfate-reducing	bacteria	Species	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM55	n.a.	Bacteroides	J-37	Species	816	Bacteroides	815	Bacteroidaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM56	n.a.	Bacteroides	JY-6	Species	816	Bacteroides	815	Bacteroidaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM60	29523	Bacteroides	sp.	Species	816	Bacteroides	815	Bacteroidaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM63	n.a.	Bacteroides	spp.	Species	816	Bacteroides	815	Bacteroidaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM77	311784	Bacteroides	WH2	WH2	Strain	816	Bacteroides	815	Bacteroidaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM80	976	Bacteroidetes	Phylum	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM81	n.a.	Bacteroidetes/Firmicutes	ratio	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No						
PMDBM85	31953	Bifidobacteriaceae	Family	n.a.	n.a.	31953	Bifidobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM86	85004	Bifidobacteriales	Order	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM92	n.a.	Bifidobacterium	B-9	Species	1678	Bifidobacterium	31953	Bifidobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM99	n.a.	Bifidobacterium	K-506	Species	1678	Bifidobacterium	31953	Bifidobacteriaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM600	434	Acetobacter	genus	434	Acetobacter	433	Acetobacteraceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM601	1287736	Achromobacter	aegrifaciens	Species	222	Achromobacter	506	Alcaligenaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM602	204432	Acidobacteria	class	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM603	12916	Acidovorax	genus	12916	Acidovorax	80864	Comamonadaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM604	980514	Acinetobacter	baumannii	TCDC-AB0715	Strain	469	Acinetobacter	468	Moraxellaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM605	707232	Acinetobacter	haemolyticus	ATCC	19194	Strain	469	Acinetobacter	468	Moraxellaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM606	n.a.	Actinobacteria	cluster	ACK	M1	Strain	n.a.	n.a.	n.a.	n.a.	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM607	1654	Actinomyces	genus	1654	Actinomyces	2049	Actinomycetaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM608	525245	Actinomyces	coleocanis	DSM	15436	Strain	n.a.	n.a.	2049	Actinomycetaceae	2	Bacteria	n.a.	n.a.	n.a.	No				
PMDBM609	762963	Actinomyces	sp.	oral	taxon	170	str.	F0386	Strain	1654	Actinomyces	2049	Actinomycetaceae	2	Bacteria	n.a.	n.a.	n.a.	No	
PMDBM610	2049	Actinomycetaceae	family	n.a.	n.a.	2049	Actinomycetaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM611	447020	Adlercreutzia	genus	447020	Adlercreutzia	1643826	Eggerthellaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM612	1375	Aerococcus	genus	1375	Aerococcus	186827	Aerococcaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM613	642	Aeromonas	genus	642	Aeromonas	84642	Aeromonadaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM614	878320	Aeromonas	caviae	Ae398	Strain	642	Aeromonas	84642	Aeromonadaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM615	416916	Aggregatibacter	genus	416916	Aggregatibacter	712	Pasteurellaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM616	1050720	Agrobacterium	tumefaciens	F2	Strain	357	Agrobacterium	82115	Rhizobiaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM617	n.a.	Akkermansia	spp.	Species	239934	Akkermansia	1647988	Akkermansiaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM618	506	Alcaligenaceae	family	n.a.	n.a.	506	Alcaligenaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM619	507	Alcaligenes	genus	507	Alcaligenes	506	Alcaligenaceae	2	Bacteria	n.a.	n.a.	n.a.	No							
PMDBM620	626932	Alistipes	indistinctus	Species	239759	Alistipes	171550	Rikenellaceae	2	Bacteria	n.a.	n.a.	n.a.	No						
PMDBM621	293826	Alkaliphilus	metalliredigens	QYMF	Strain	114627	Alkaliphilus	31979	Clostridiaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
PMDBM622	350688	Alkaliphilus	oremlandii	OhILAs	Strain	114627	Alkaliphilus	31979	Clostridiaceae	2	Bacteria	n.a.	n.a.	n.a.	No					
