<<<<<<< HEAD
Microbe	NCBI_id	Drug	Pubchem_id	Reference
Butyricicoccus	580596	Acarbose	9811704	PMID: 35788347
Phascolarctobacterium	33024	Acarbose	9811704	PMID: 35788347
Eggerthella	84111	Acarbose	9811704	PMID: 35788347
Ruminococcus	1263	Acarbose	9811704	PMID: 35788347
Bacteroides	816	Acarbose	9811704	PMID: 35788347
Oribacterium	265975	Acarbose	9811704	PMID: 35788347
Alistipes	239759	Acarbose	9811704	PMID: 35788347
Clostridium	1485	Acarbose	9811704	PMID: 35788347
Eubacterium	1730	Acarbose	9811704	PMID: 35788347
Roseburia	841	Acarbose	9811704	PMID: 35788347
Enterobacteriaceae	543	Metformin Hydrochloride	14219	PMID: 35788347
Escherichia	561	Metformin Hydrochloride	14219	PMID: 35788347
Intestinibacter	1505657	Metformin Hydrochloride	14219	PMID: 35788347
Lactobacillus	1578	Metformin Hydrochloride	14219	PMID: 35788347
Collinsella	102106	Metformin Hydrochloride	14219	PMID: 35788347
Bacillus	55087	Metformin Hydrochloride	14219	PMID: 35788347
Citrobacter	544	Metformin Hydrochloride	14219	PMID: 35788347
Enterobacter	547	Metformin Hydrochloride	14219	PMID: 35788347
Klebsiella	570	Metformin Hydrochloride	14219	PMID: 35788347
Salmonella	590	Metformin Hydrochloride	14219	PMID: 35788347
Clostridiaceae	31979	Metformin Hydrochloride	14219	PMID: 35788347
Christensenellaceae	990719	Metformin Hydrochloride	14219	PMID: 35788347
Clostridia	186801	Metformin Hydrochloride	14219	PMID: 35788347
Barnesiellaceae	2005519	Metformin Hydrochloride	14219	PMID: 35788347
Ruminococcaceae	216572	Metformin Hydrochloride	14219	PMID: 35788347
Bacteroides	816	Metformin Hydrochloride	14219	PMID: 35788347
Coprococcus	33042	Metformin Hydrochloride	14219	PMID: 35788347
Clostridium	1485	Metformin Hydrochloride	14219	PMID: 35788347
Oscillospira	119852	Atorvastatin Calcium Hydrate	60822	PMID: 35788347
Enterobacteriaceae	543	Atorvastatin Calcium Hydrate	60822	PMID: 35788347
Prevotellaceae	171552	Atorvastatin Calcium Hydrate	60822	PMID: 35788347
Desulfovibrio	872	Atorvastatin Calcium Hydrate	60822	PMID: 35788347
Klebsiella	570	Atorvastatin Calcium Hydrate	60822	PMID: 35788347
Streptococcus	1301	Atorvastatin Calcium Hydrate	60822	PMID: 35788347
Collinsella	102106	Atorvastatin Calcium Hydrate	60822	PMID: 35788347
Eubacterium	1730	Rosuvastatin Calcium	5282455	PMID: 35788347
Ruminococcaceae	216572	Rosuvastatin Calcium	5282455	PMID: 35788347
Eubacteriaceae	186806	Aspirin	2244	PMID: 35788347
Bacteroides	816	Folic Acid	6037	PMID: 35788347
Christensenellaceae	990719	Folic Acid	6037	PMID: 35788347
Actinobacteria	201174	Folic Acid	6037	PMID: 35788347
Ruminococcus	1263	Folic Acid	6037	PMID: 35788347
Dorea	189330	Folic Acid	6037	PMID: 35788347
Roseburia	841	Folic Acid	6037	PMID: 35788347
Faecalibacterium	216851	Tacrolimus Hydrate	5282315	PMID: 35788347
Bacteroides	816	Azathioprine	2265	PMID: 35788347
Akkermansia	239934	Bicalutamide	2375	PMID: 35788347
Ruminococcaceae	216572	Bicalutamide	2375	PMID: 35788347
Brevibacteriaceae	85019	Bicalutamide	2375	PMID: 35788347
Erysipelotrichaceae	128827	Bicalutamide	2375	PMID: 35788347
Streptococcaceae	1300	Bicalutamide	2375	PMID: 35788347
Acidaminococcaceae	909930	Ibuprofen	3672	PMID: 35788347
Enterobacteriaceae	543	Ibuprofen	3672	PMID: 35788347
Propionibacteriaceae	31957	Ibuprofen	3672	PMID: 35788347
Pseudomonadaceae	135621	Ibuprofen	3672	PMID: 35788347
Puniceicoccaceae	415002	Ibuprofen	3672	PMID: 35788347
Rikenellaceae	171550	Ibuprofen	3672	PMID: 35788347
Flavonifractor	946234	Celecoxib	2662	PMID: 35788347
Clostridium	1485	Celecoxib	2662	PMID: 35788347
Bacteroides	816	Celecoxib	2662	PMID: 35788347
Oscillibacter	459786	Celecoxib	2662	PMID: 35788347
Acidaminococcaceae	909930	Celecoxib	2662	PMID: 35788347
Enterobacteriaceae	543	Celecoxib	2662	PMID: 35788347
Ruminococcus	1263	Budesonide	5281004	PMID: 35788347
Faecalibacterium	216851	Budesonide	5281004	PMID: 35788347
Bacteroides	816	Clonazepam	2802	PMID: 35788347
Oscillibacter	459786	Clonazepam	2802	PMID: 35788347
Parabacteroides	375288	Clonazepam	2802	PMID: 35788347
Lachnospiraceae	186803	Aripiprazole	60795	PMID: 35788347
Akkermansia	239934	Aripiprazole	60795	PMID: 35788347
Sutterella	40544	Aripiprazole	60795	PMID: 35788347
Anaerostipes	207244	Amoxicillin Hydrate	33613	PMID: 35788347
Bacteroides	816	Amoxicillin Hydrate	33613	PMID: 35788347
Neisseria	482	Clarithromycin	84029	PMID: 35788347
Haemophilus	724	Clarithromycin	84029	PMID: 35788347
Streptococcus	1301	Clarithromycin	84029	PMID: 35788347
Enterococcus	1350	Clarithromycin	84029	PMID: 35788347
Klebsiella	570	Clarithromycin	84029	PMID: 35788347
Actinomyces	1654	Clarithromycin	84029	PMID: 35788347
Prevotella	838	Clarithromycin	84029	PMID: 35788347
Coprococcus	33042	Clarithromycin	84029	PMID: 35788347
Bifidobacterium	1678	Clarithromycin	84029	PMID: 35788347
Collinsella	102106	Clarithromycin	84029	PMID: 35788347
Ruminococcus	1263	Clarithromycin	84029	PMID: 35788347
Bacteroides	816	Clarithromycin	84029	PMID: 35788347
Clostridia	186801	Clarithromycin	84029	PMID: 35788347
Neisseria	482	Metronidazole	4173	PMID: 35788347
Haemophilus	724	Metronidazole	4173	PMID: 35788347
Streptococcus	1301	Metronidazole	4173	PMID: 35788347
Enterococcus	1350	Metronidazole	4173	PMID: 35788347
Klebsiella	570	Metronidazole	4173	PMID: 35788347
Actinomyces	1654	Metronidazole	4173	PMID: 35788347
Prevotella	838	Metronidazole	4173	PMID: 35788347
Coprococcus	33042	Metronidazole	4173	PMID: 35788347
Bifidobacterium	1678	Metronidazole	4173	PMID: 35788347
Collinsella	102106	Metronidazole	4173	PMID: 35788347
Ruminococcus	1263	Metronidazole	4173	PMID: 35788347
Bacteroides	816	Metronidazole	4173	PMID: 35788347
Clostridia	186801	Metronidazole	4173	PMID: 35788347
Lachnospiraceae	186803	clozapine	135398737	PMID: 34260950
Lachnospiraceae	186803	olanzapine	135398745	PMID: 34260950
Lachnospiraceae	186803	risperidone	5073	PMID: 34260950
Lachnospiraceae	186803	quetiapine	5002	PMID: 34260950
Lachnospiraceae	186803	lurasidone	213046	PMID: 34260950
Lachnospiraceae	186803	paliperidone	115237	PMID: 34260950
Lachnospiraceae	186803	iloperidone	71360	PMID: 34260950
Akkermansia	239934	clozapine	135398737	PMID: 34260950
Akkermansia	239934	olanzapine	135398745	PMID: 34260950
Akkermansia	239934	risperidone	5073	PMID: 34260950
Akkermansia	239934	quetiapine	5002	PMID: 34260950
Akkermansia	239934	lurasidone	213046	PMID: 34260950
Akkermansia	239934	paliperidone	115237	PMID: 34260950
Akkermansia	239934	iloperidone	71360	PMID: 34260950
Sutterella	40544	clozapine	135398737	PMID: 34260950
Sutterella	40544	olanzapine	135398745	PMID: 34260950
Sutterella	40544	risperidone	5073	PMID: 34260950
Sutterella	40544	quetiapine	5002	PMID: 34260950
Sutterella	40544	lurasidone	213046	PMID: 34260950
Sutterella	40544	paliperidone	115237	PMID: 34260950
Sutterella	40544	iloperidone	71360	PMID: 34260950
Turicibacter sanguinis	154288	Fluoxetine	3386	PMID: 34260950
Akkermansia muciniphila	239935	Metformin	4091	PMID: 34260950
Bacteroidetes	200643	Methotrexate	126941	PMID: 34260950
Actinobacteria	201174	Methotrexate	126941	PMID: 34260950
Streptococcaceae	1300	Paracetamol	1983	PMID: 34260950
Verrucomicrobia	74201	Temozolomide	5394	PMID: 35176217
Akkermansiaceae	1647988	Temozolomide	5394	PMID: 35176217
Akkermansia	239934	Temozolomide	5394	PMID: 35176217
Faecalibacterium	216851	carmustine	2578	PMID: 35176217
Faecalibacterium	216851	etoposide	36462	PMID: 35176217
Faecalibacterium	216851	aracytin	6253	PMID: 35176217
Faecalibacterium	216851	melphalan	460612	PMID: 35176217
Escherichia	561	carmustine	2578	PMID: 35176217
Escherichia	561	etoposide	36462	PMID: 35176217
Escherichia	561	aracytin	6253	PMID: 35176217
Escherichia	561	melphalan	460612	PMID: 35176217
Sutterella	40544	Osimertinib	71496458	PMID: 35176217
Peptoniphilus	162289	Osimertinib	71496458	PMID: 35176217
Anaeroglobus	156454	Osimertinib	71496458	PMID: 35176217
Clostridium	1485	Osimertinib	71496458	PMID: 35176217
Absiella	2057233	Rutin	5280805	MagMD
Absiella	2057233	Poncirin	442456	MagMD
Absiella	2057233	Naringin	442428	MagMD
Absiella	2057233	Ginsenoside	3086007	MagMD
Absiella	2057233	Rebaudioside A	6918840	MagMD
Absiella	2057233	Stevioside	442089	MagMD
Absiella	2057233	Isoquercetin	5280804	MagMD
Absiella	2057233	Sorivudine	5282192	MagMD
Absiella	2057233	5-Fluorouracil	3385	MagMD
Absiella dolichum	31971	Rutin	5280805	MagMD
Absiella dolichum	31971	Rebaudioside A	6918840	MagMD
Absiella dolichum	31971	Stevioside	442089	MagMD
Absiella dolichum	31971	Isoquercetin	5280804	MagMD
Absiella dolichum	31971	Sorivudine	5282192	MagMD
Absiella dolichum	31971	5-Fluorouracil	3385	MagMD
Acetatifactor	1427378	Rutin	5280805	MagMD
Acetatifactor	1427378	Poncirin	442456	MagMD
Acetatifactor	1427378	Ginsenoside	3086007	MagMD
Acetatifactor	1427378	Rebaudioside A	6918840	MagMD
Acetatifactor	1427378	Stevioside	442089	MagMD
Acetatifactor	1427378	Isoquercetin	5280804	MagMD
Acetatifactor	1427378	Sorivudine	5282192	MagMD
Acetatifactor	1427378	5-Fluorouracil	3385	MagMD
Acetomicrobium hydrogeniformans	649746	Sorivudine	5282192	MagMD
Acetomicrobium hydrogeniformans	649746	5-Fluorouracil	3385	MagMD
Achromobacter xylosoxidans	85698	Rutin	5280805	MagMD
Achromobacter xylosoxidans	85698	Rebaudioside A	6918840	MagMD
Achromobacter xylosoxidans	85698	Stevioside	442089	MagMD
Achromobacter xylosoxidans	85698	Isoquercetin	5280804	MagMD
Achromobacter xylosoxidans	85698	5-Fluorouracil	3385	MagMD
Acidaminococcaceae	909930	5-Fluorouracil	3385	MagMD
Acidaminococcus	904	Sorivudine	5282192	MagMD
Acidaminococcus	904	5-Fluorouracil	3385	MagMD
Acidaminococcus fermentans	905	Sorivudine	5282192	MagMD
Acidaminococcus fermentans	905	5-Fluorouracil	3385	MagMD
Acidaminococcus intestini	187327	5-Fluorouracil	3385	MagMD
Acidaminococcus massiliensis	1852375	Tryptophan	6305	MagMD
Acidaminococcus massiliensis	1852375	5-Fluorouracil	3385	MagMD
Acidaminococcus timonensis	1871002	Sorivudine	5282192	MagMD
Acidaminococcus timonensis	1871002	5-Fluorouracil	3385	MagMD
Acinetobacter	469	Rutin	5280805	MagMD
Acinetobacter	469	Rebaudioside A	6918840	MagMD
Acinetobacter	469	Stevioside	442089	MagMD
Acinetobacter	469	Isoquercetin	5280804	MagMD
Acinetobacter	469	5-Fluorouracil	3385	MagMD
Acinetobacter baumannii	470	Rutin	5280805	MagMD
Acinetobacter baumannii	470	Rebaudioside A	6918840	MagMD
Acinetobacter baumannii	470	Stevioside	442089	MagMD
Acinetobacter baumannii	470	Isoquercetin	5280804	MagMD
Acinetobacter baumannii	470	5-Fluorouracil	3385	MagMD
Acinetobacter johnsonii	40214	5-Fluorouracil	3385	MagMD
Acinetobacter junii	40215	Rutin	5280805	MagMD
Acinetobacter junii	40215	Rebaudioside A	6918840	MagMD
Acinetobacter junii	40215	Stevioside	442089	MagMD
Acinetobacter junii	40215	Isoquercetin	5280804	MagMD
Acinetobacter junii	40215	5-Fluorouracil	3385	MagMD
Acinetobacter nosocomialis	106654	Rutin	5280805	MagMD
Acinetobacter nosocomialis	106654	Rebaudioside A	6918840	MagMD
Acinetobacter nosocomialis	106654	Stevioside	442089	MagMD
Acinetobacter nosocomialis	106654	Isoquercetin	5280804	MagMD
Acinetobacter nosocomialis	106654	5-Fluorouracil	3385	MagMD
Acinetobacter pittii	48296	Rutin	5280805	MagMD
Acinetobacter pittii	48296	Rebaudioside A	6918840	MagMD
Acinetobacter pittii	48296	Stevioside	442089	MagMD
Acinetobacter pittii	48296	Isoquercetin	5280804	MagMD
Acinetobacter pittii	48296	5-Fluorouracil	3385	MagMD
Acinetobacter radioresistens	40216	Rutin	5280805	MagMD
Acinetobacter radioresistens	40216	Rebaudioside A	6918840	MagMD
Acinetobacter radioresistens	40216	Stevioside	442089	MagMD
Acinetobacter radioresistens	40216	Isoquercetin	5280804	MagMD
Acinetobacter radioresistens	40216	5-Fluorouracil	3385	MagMD
Acinetobacter ursingii	108980	Rutin	5280805	MagMD
Acinetobacter ursingii	108980	Rebaudioside A	6918840	MagMD
Acinetobacter ursingii	108980	Stevioside	442089	MagMD
Acinetobacter ursingii	108980	Isoquercetin	5280804	MagMD
Acinetobacter ursingii	108980	5-Fluorouracil	3385	MagMD
Actinobaculum massiliense	202789	Sorivudine	5282192	MagMD
Actinobaculum massiliense	202789	5-Fluorouracil	3385	MagMD
Actinomyces graevenitzii	55565	Sorivudine	5282192	MagMD
Actinomyces graevenitzii	55565	5-Fluorouracil	3385	MagMD
Actinomyces urogenitalis	103621	Rutin	5280805	MagMD
Actinomyces urogenitalis	103621	Poncirin	442456	MagMD
Actinomyces urogenitalis	103621	Ginsenoside	3086007	MagMD
Actinomyces urogenitalis	103621	Rebaudioside A	6918840	MagMD
Actinomyces urogenitalis	103621	Stevioside	442089	MagMD
Actinomyces urogenitalis	103621	Isoquercetin	5280804	MagMD
Actinomyces urogenitalis	103621	Sorivudine	5282192	MagMD
Actinomyces urogenitalis	103621	5-Fluorouracil	3385	MagMD
Actinomyces viscosus	1656	Rutin	5280805	MagMD
Actinomyces viscosus	1656	Rebaudioside A	6918840	MagMD
Actinomyces viscosus	1656	Stevioside	442089	MagMD
Actinomyces viscosus	1656	Isoquercetin	5280804	MagMD
Actinomyces viscosus	1656	5-Fluorouracil	3385	MagMD
Actinomycetaceae	2049	Rutin	5280805	MagMD
Actinomycetaceae	2049	Poncirin	442456	MagMD
Actinomycetaceae	2049	Ginsenoside	3086007	MagMD
Actinomycetaceae	2049	Rebaudioside A	6918840	MagMD
Actinomycetaceae	2049	Stevioside	442089	MagMD
Actinomycetaceae	2049	Isoquercetin	5280804	MagMD
Actinomycetaceae	2049	Sorivudine	5282192	MagMD
Actinomycetaceae	2049	5-Fluorouracil	3385	MagMD
Acutalibacter	1918385	Rutin	5280805	MagMD
Acutalibacter	1918385	Poncirin	442456	MagMD
Acutalibacter	1918385	Ginsenoside	3086007	MagMD
Acutalibacter	1918385	Rebaudioside A	6918840	MagMD
Acutalibacter	1918385	Stevioside	442089	MagMD
Acutalibacter	1918385	Isoquercetin	5280804	MagMD
Acutalibacter	1918385	Sorivudine	5282192	MagMD
Acutalibacter	1918385	5-Fluorouracil	3385	MagMD
Adlercreutzia	447020	5-Fluorouracil	3385	MagMD
Adlercreutzia equolifaciens	446660	5-Fluorouracil	3385	MagMD
Aeromonas caviae	648	Rutin	5280805	MagMD
Aeromonas caviae	648	Rebaudioside A	6918840	MagMD
Aeromonas caviae	648	Stevioside	442089	MagMD
Aeromonas caviae	648	Isoquercetin	5280804	MagMD
Aeromonas caviae	648	Tryptophan	6305	MagMD
Aeromonas caviae	648	Sorivudine	5282192	MagMD
Aeromonas caviae	648	5-Fluorouracil	3385	MagMD
Aeromonas dhakensis	196024	Rutin	5280805	MagMD
Aeromonas dhakensis	196024	Rebaudioside A	6918840	MagMD
Aeromonas dhakensis	196024	Stevioside	442089	MagMD
Aeromonas dhakensis	196024	Isoquercetin	5280804	MagMD
Aeromonas dhakensis	196024	Tryptophan	6305	MagMD
Aeromonas dhakensis	196024	Sorivudine	5282192	MagMD
Aeromonas dhakensis	196024	5-Fluorouracil	3385	MagMD
Aeromonas hydrophila	644	Rutin	5280805	MagMD
Aeromonas hydrophila	644	Rebaudioside A	6918840	MagMD
Aeromonas hydrophila	644	Stevioside	442089	MagMD
Aeromonas hydrophila	644	Isoquercetin	5280804	MagMD
Aeromonas hydrophila	644	Tryptophan	6305	MagMD
Aeromonas hydrophila	644	Sorivudine	5282192	MagMD
Aeromonas hydrophila	644	5-Fluorouracil	3385	MagMD
Aeromonas rivipollensis	948519	Rutin	5280805	MagMD
Aeromonas rivipollensis	948519	Rebaudioside A	6918840	MagMD
Aeromonas rivipollensis	948519	Stevioside	442089	MagMD
Aeromonas rivipollensis	948519	Isoquercetin	5280804	MagMD
Aeromonas rivipollensis	948519	Tryptophan	6305	MagMD
Aeromonas rivipollensis	948519	Sorivudine	5282192	MagMD
Aeromonas rivipollensis	948519	5-Fluorouracil	3385	MagMD
Aeromonas veronii	654	Rutin	5280805	MagMD
Aeromonas veronii	654	Rebaudioside A	6918840	MagMD
Aeromonas veronii	654	Stevioside	442089	MagMD
Aeromonas veronii	654	Isoquercetin	5280804	MagMD
Aeromonas veronii	654	Tryptophan	6305	MagMD
Aeromonas veronii	654	Sorivudine	5282192	MagMD
Aeromonas veronii	654	5-Fluorouracil	3385	MagMD
Afipia broomeae	56946	Rutin	5280805	MagMD
Afipia broomeae	56946	Rebaudioside A	6918840	MagMD
Afipia broomeae	56946	Stevioside	442089	MagMD
Afipia broomeae	56946	Isoquercetin	5280804	MagMD
Agathobacter	1766253	Rutin	5280805	MagMD
Agathobacter	1766253	Poncirin	442456	MagMD
Agathobacter	1766253	Naringin	442428	MagMD
Agathobacter	1766253	Ginsenoside	3086007	MagMD
Agathobacter	1766253	Rebaudioside A	6918840	MagMD
Agathobacter	1766253	Stevioside	442089	MagMD
Agathobacter	1766253	Isoquercetin	5280804	MagMD
Agathobacter	1766253	Sorivudine	5282192	MagMD
Agathobacter	1766253	5-Fluorouracil	3385	MagMD
Agathobacter faecis	301302	Rutin	5280805	MagMD
Agathobacter faecis	301302	Rebaudioside A	6918840	MagMD
Agathobacter faecis	301302	Stevioside	442089	MagMD
Agathobacter faecis	301302	Isoquercetin	5280804	MagMD
Agathobacter faecis	301302	5-Fluorouracil	3385	MagMD
Agathobacter rectalis	39491	Rutin	5280805	MagMD
Agathobacter rectalis	39491	Rebaudioside A	6918840	MagMD
Agathobacter rectalis	39491	Stevioside	442089	MagMD
Agathobacter rectalis	39491	Isoquercetin	5280804	MagMD
Agathobacter rectalis	39491	Sorivudine	5282192	MagMD
Agathobaculum	2048137	Rutin	5280805	MagMD
Agathobaculum	2048137	Rebaudioside A	6918840	MagMD
Agathobaculum	2048137	Stevioside	442089	MagMD
Agathobaculum	2048137	Isoquercetin	5280804	MagMD
Agathobaculum	2048137	Tryptophan	6305	MagMD
Agathobaculum	2048137	Sorivudine	5282192	MagMD
Agathobaculum	2048137	5-Fluorouracil	3385	MagMD
Agathobaculum butyriciproducens	1628085	Tryptophan	6305	MagMD
Agathobaculum butyriciproducens	1628085	5-Fluorouracil	3385	MagMD
Agathobaculum desmolans	39484	Tryptophan	6305	MagMD
Agathobaculum desmolans	39484	Sorivudine	5282192	MagMD
Agathobaculum desmolans	39484	5-Fluorouracil	3385	MagMD
Aggregatibacter segnis	739	Rutin	5280805	MagMD
Aggregatibacter segnis	739	Rebaudioside A	6918840	MagMD
Aggregatibacter segnis	739	Stevioside	442089	MagMD
Aggregatibacter segnis	739	Isoquercetin	5280804	MagMD
Aggregatibacter segnis	739	Sorivudine	5282192	MagMD
Aggregatibacter segnis	739	5-Fluorouracil	3385	MagMD
Akkermansia	239934	Rutin	5280805	MagMD
Akkermansia	239934	Rebaudioside A	6918840	MagMD
Akkermansia	239934	Stevioside	442089	MagMD
Akkermansia	239934	Isoquercetin	5280804	MagMD
Akkermansia	239934	Tryptophan	6305	MagMD
Akkermansia	239934	Sorivudine	5282192	MagMD
Akkermansia	239934	5-Fluorouracil	3385	MagMD
Akkermansia muciniphila	239935	5-Fluorouracil	3385	MagMD
Alistipes	239759	Rutin	5280805	MagMD
